Time (s) Monitor Run,0,Velocity (m/s) Monitor Run,Acceleration (m/s²) Monitor Run
11.875,0,0,0
11.9,0,0,0
11.925,0,0,0
11.95,0,0,0
11.975,0,0,0
12,0,0,0
12.025,0,0,0
12.05,0,0,0
12.075,0,0,0
12.1,0,0,0
12.125,0,0,0
12.15,0,0,0
12.175,0,0,0
12.2,0,0,0
12.225,0,0,0
12.25,0,0,0
12.275,0,0,0
12.3,0,0,0
12.325,0,0,0
12.35,0,0,0
12.375,0,0,0
12.4,0,0,0
12.425,0,0,0
12.45,0,0,0
12.475,0,0,0
12.5,0,0,0
12.525,0,0,0
12.55,0,0,0
12.575,0,0,0
12.6,0,0,0
12.625,0,0,0
12.65,0,0,0
12.675,0,0,0
12.7,0,0,0
12.725,0,0,0
12.75,0,0,0
12.775,0,0,0
12.8,0,0,0
12.825,0,0,0
12.85,0,0,0
12.875,0,0,0
12.9,0,0,0
12.925,0,0,0
12.95,0,0,0
12.975,0,0,0
13,0,0,0
13.025,0,0,0
13.05,0,0,0
13.075,0,0,0
13.1,0,0,0
13.125,0,0,0
13.15,0,0,0
13.175,0,0,0
13.2,0,0,0
13.225,0,0,0
13.25,0,0,0
13.275,0,0,0
13.3,0,0,0
13.325,0,0,0
13.35,0,0,0
13.375,0,0,0
13.4,0,0,0
13.425,0,0,0
13.45,0,0,0
13.475,0,0,0
13.5,0,0,0
13.525,0,0,0
13.55,0,0,0
13.575,0,0,0
13.6,0,0,0
13.625,0,0,0
13.65,0,0,0
13.675,0,0,0
13.7,0,0,0
13.725,0,0,0
13.75,0,0,0
13.775,0,0,0
13.8,0,0,0
13.825,0,0,0
13.85,0,0,0
13.875,0,0,0
13.9,0,0,0
13.925,0,0,0
13.95,0,0,0
13.975,0,0,0
14,0,0,0
14.025,0,0,0
14.05,0,0,0
14.075,0,0,0
14.1,0,0,0
14.125,0,0,0
14.15,0,0,0
14.175,0,0,0
14.2,0,0,0
14.225,0,0,0
14.25,0,0,0
14.275,0,0,0
14.3,0,0,0
14.325,0,0,0
14.35,0,0,0
14.375,0,0,0
14.4,0,0,0
14.425,0,0,0
14.45,0,0,
14.475,0,0,
14.5,0,,
